price,ratings,guests,bathrooms,room_type,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings
320.0,4.0,2.0,1.0,Entire home/apt,11.0,False,1.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
199.71,4.0,2.0,1.0,Entire home/apt,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
328.5,4.71,4.0,1.0,Entire home/apt,68.0,False,1.0,1.0,"{""cats"": {""dining"": [77, 542, 10], ""shopping"": [448, 1990, 17], ""grocery"": [12, 66, 29], ""fitness_sport"": [9, 153, 30], ""culture"": [2, 37, 41], ""nightlife"": [11, 124, 47], ""cafe"": [11, 103, 48], ""lodging"": [11, 129, 59], ""entertainment"": [9, 166, 66], ""landmark"": [1, 35, 85], ""park_green"": [2, 9, 114], ""transit"": [0, 14, 173]}, ""landmarks"": [[""Herald Square"", 254], [""Bryant Park"", 269], [""Times Square"", 334], [""Madison Square Garden"", 477], [""Empire State Building"", 485], [""The Morgan Library & Museum"", 693], [""Rockefeller Center"", 735], [""One Vanderbilt"", 752], [""Summit One Vanderbilt"", 795]]}"
639.06,4.8,4.0,1.0,Entire home/apt,51.0,False,2.0,1.0,"{""cats"": {""shopping"": [120, 2258, 4], ""nightlife"": [11, 105, 4], ""dining"": [52, 418, 8], ""lodging"": [10, 115, 23], ""grocery"": [4, 53, 40], ""landmark"": [4, 52, 42], ""entertainment"": [9, 134, 45], ""cafe"": [6, 96, 46], ""fitness_sport"": [8, 62, 53], ""park_green"": [5, 14, 84], ""culture"": [3, 36, 88], ""transit"": [0, 13, 151]}, ""landmarks"": [[""Bryant Park"", 170], [""Rockefeller Center"", 277], [""Times Square"", 335], [""One Vanderbilt"", 389], [""Summit One Vanderbilt"", 439], [""Top of the Rock"", 444], [""Grand Central Terminal"", 466], [""Radio City Music Hall"", 494], [""St. Patrick's Cathedral"", 558], [""Waldorf Astoria"", 683], [""Chrysler Building"", 696], [""Herald Square"", 708], [""The Morgan Library & Museum"", 710], [""Museum of Modern Art"", 733]]}"
278.0,3.0,2.0,1.0,Hotel room,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
700.0,4.29,8.0,2.0,Hotel room,7.0,False,2.0,2.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
350.0,4.0,4.0,1.0,Hotel room,4.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
308.0,5.0,2.0,1.0,Hotel room,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
453.0,4.67,2.0,1.0,Hotel room,3.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
278.0,4.63,2.0,1.0,Hotel room,59.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
