index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4,,Centrum-Oost,52.36584,4.89111,Private room,55,2,520,5.57,2,267,41,holland,"[{""name"": ""Kattenkabinet"", ""tourism"": ""museum""}, {""name"": ""BLEND XL"", ""amenity"": ""pub""}, {""name"": ""Club NYX"", ""amenity"": ""nightclub""}, {""name"": ""Secret Garden"", ""amenity"": ""restaurant""}]"
11,,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,0.87,1,0,0,holland,"[{""name"": ""Montessori Lyceum Amsterdam"", ""amenity"": ""school"", ""description"": ""hoofdlocatie""}, {""leisure"": ""garden""}]"
19,,Slotervaart,52.34801,4.83639,Private room,42,2,205,1.89,1,355,10,holland,"[{""leisure"": ""playground""}]"
20,,Zuid,52.35665,4.86363,Entire home/apt,99,7,54,0.71,1,0,1,holland,"[{""name"": ""Rosarium"", ""leisure"": ""garden"", ""description"": ""Rose garden in the Vondelpark""}, {""name"": ""Vondelpark"", ""leisure"": ""park""}]"
25,,Centrum-West,52.38104,4.88306,Entire home/apt,157,6,24,0.26,1,156,2,holland,"[{""name"": ""a Sense of Place - Hi-Fidelity Coffee"", ""amenity"": ""cafe""}, {""name"": ""Svaha Yoga - Jordaan Shala"", ""leisure"": ""fitness_centre"", ""sport"": ""yoga""}]"
27,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,250,21,29,0.23,2,47,2,holland,"[{""leisure"": ""garden""}, {""shop"": ""vacant""}, {""leisure"": ""park""}]"
33,,Centrum-West,52.36883,4.88749,Private room,265,2,12,0.45,1,343,2,holland,"[{""name"": ""Lanskroon"", ""shop"": ""pastry""}, {""name"": ""Amsterdam Vintage Watches"", ""shop"": ""jewelry""}, {""name"": ""The Lebanese Sajeria"", ""amenity"": ""fast_food"", ""cuisine"": ""lebanese""}, {""name"": ""Dutch Flowers Coffee Shop"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop""}, {""name"": ""Amsterdam cheese company"", ""amenity"": ""cafe""}, {""name"": ""Story Tiles"", ""shop"": ""tiles""}, {""name"": ""Kapsalon Jeroen Bruggeman"", ""shop"": ""hairdresser""}, {""name"": ""Eetcafe Singel 404"", ""amenity"": ""cafe""}]"
48,,De Pijp - Rivierenbuurt,52.35784,4.90206,Entire home/apt,145,18,92,0.81,1,90,2,holland,"[{""name"": ""Coffeeshop IBIZA"", ""shop"": ""cannabis""}, {""name"": ""Paul & Ninette Bike Rental"", ""amenity"": ""bicycle_rental""}, {""name"": ""Paul & Ninette Vinotheque"", ""amenity"": ""cafe"", ""cuisine"": ""breakfast;lunch""}, {""name"": ""MAX Hotel"", ""tourism"": ""hotel""}, {""leisure"": ""garden""}, {""name"": ""Lidl"", ""shop"": ""supermarket""}]"
52,,Centrum-Oost,52.36733,4.92055,Entire home/apt,707,2,99,0.88,2,281,0,holland,"[{""leisure"": ""playground""}, {""tourism"": ""artwork""}]"
60,,De Pijp - Rivierenbuurt,52.35699,4.89705,Entire home/apt,200,3,27,0.26,1,363,0,holland,"[{""name"": ""Badcuyp"", ""amenity"": ""restaurant""}, {""name"": ""Hairstudio Pu-ma"", ""shop"": ""hairdresser""}, {""name"": ""Boksschool VBSK Albert Cuyp"", ""leisure"": ""fitness_centre"", ""sport"": ""boxing""}, {""shop"": ""vacant""}, {""name"": ""Taalhuis Amsterdam"", ""amenity"": ""language_school""}, {""name"": ""Dental 220"", ""amenity"": ""dentist""}, {""name"": ""Warung Swietie Lelydorp"", ""amenity"": ""fast_food"", ""cuisine"": ""asian""}, {""name"": ""Thai Roof"", ""amenity"": ""restaurant"", ""cuisine"": ""thai""}, {""name"": ""Café De Baron"", ""amenity"": ""pub""}, {""leisure"": ""garden""}, {""name"": ""Partou"", ""amenity"": ""childcare"", ""description"": ""Kinderdagverblijf""}, {""name"": ""Albert Heijn"", ""shop"": ""supermarket""}, {""name"": ""Gall & Gall"", ""shop"": ""alcohol""}]"
63,,Centrum-Oost,52.36738,4.89671,Private room,120,2,421,3.77,1,119,5,holland,"[{""name"": ""Blin Queen"", ""amenity"": ""restaurant"", ""cuisine"": ""breakfast;cake;coffee_shop;crepe;diner;pancake""}, {""name"": ""Pizza Beppe"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza""}, {""name"": ""Mulligans"", ""amenity"": ""pub"", ""cuisine"": ""irish""}, {""name"": ""Hotel Amstelzicht"", ""tourism"": ""hotel""}, {""name"": ""Dancing Houses"", ""tourism"": ""viewpoint""}, {""name"": ""Amsterdam House Hotel"", ""tourism"": ""hotel""}]"
65,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,119,5,71,0.61,1,14,3,holland,"[{""name"": ""Keu Poolcafe"", ""amenity"": ""pub"", ""sport"": ""billiards""}, {""name"": ""Leonardo Hotel Amsterdam"", ""tourism"": ""hotel""}]"
72,,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,113,3,126,1.21,1,3,3,holland,"[{""name"": ""Arrahman"", ""amenity"": ""place_of_worship""}, {""name"": ""Le Hollandais"", ""amenity"": ""restaurant"", ""cuisine"": ""french""}]"
75,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,70,2,411,3.56,1,283,13,holland,"[{""leisure"": ""picnic_table""}, {""leisure"": ""garden""}]"
78,,Centrum-West,52.3739,4.89263,Entire home/apt,171,3,35,0.65,1,0,4,holland,"[{""name"": ""Dam"", ""tourism"": ""attraction""}, {""name"": ""H&M"", ""shop"": ""clothes""}, {""name"": ""Swarovski"", ""shop"": ""jewelry""}, {""name"": ""Ice Bakery"", ""amenity"": ""ice_cream""}, {""name"": ""Cheese & More"", ""shop"": ""cheese""}, {""name"": ""Simit Sarayi"", ""shop"": ""bakery"", ""cuisine"": ""turkish""}, {""name"": ""Subway"", ""amenity"": ""fast_food"", ""cuisine"": ""sandwich""}, {""name"": ""FEBO"", ""amenity"": ""fast_food"", ""cuisine"": ""friture""}, {""name"": ""ICI PARIS XL"", ""shop"": ""perfumery""}, {""name"": ""Burger King"", ""amenity"": ""fast_food"", ""cuisine"": ""burger"", ""description"": ""BK Nieuwendijk :: Amsterdam, Nieuwendijk 218""}, {""name"": ""KIKO"", ""shop"": ""cosmetics""}, {""name"": ""Pink Gellac"", ""shop"": ""cosmetics""}, {""name"": ""McDonald's"", ""amenity"": ""fast_food"", ""cuisine"": ""burger"", ""description"": ""McDonald's Amsterdam Nieuwendijk 212""}, {""name"": ""Nelson Schoenen"", ""shop"": ""shoes""}, {""name"": ""Bon Dia"", ""shop"": ""bag""}, {""name"": ""Louisa"", ""shop"": ""jewelry""}, {""name"": ""Pop Mart"", ""shop"": ""toys""}, {""name"": ""Manfield"", ""shop"": ""shoes""}, {""name"": ""Foot Locker"", ""shop"": ""shoes""}, {""name"": ""De Drie Graefjes"", ""amenity"": ""cafe"", ""cuisine"": ""american""}, {""name"": ""Dal Migliore"", ""amenity"": ""restaurant""}, {""name"": ""Barraka"", ""shop"": ""cannabis""}, {""name"": ""Tattoo & Art"", ""shop"": ""tattoo""}, {""name"": ""De Pannenkoekerij"", ""amenity"": ""restaurant"", ""cuisine"": ""pancake""}, {""name"": ""De Nieuwe Pilserij"", ""amenity"": ""pub""}, {""name"": ""Tulashi"", ""shop"": ""gift""}, {""name"": ""Pop Up Store Marcous Vintage"", ""shop"": ""clothes""}, {""name"": ""Amsterdam Seed Center"", ""shop"": ""cannabis""}, {""name"": ""Dam Square Inn"", ""tourism"": ""hotel"", ""brand"": ""Best Western""}, {""name"": ""360 Amsterdam"", ""tourism"": ""information""}, {""name"": ""Amsterdam nightlife ticket"", ""shop"": ""ticket""}, {""name"": ""Dam Good Coffee"", ""amenity"": ""cafe""}, {""leisure"": ""outdoor_seating""}, {""name"": ""'t Nieuwe Kafé"", ""amenity"": ""cafe""}, {""name"": ""Museumfoto"", ""shop"": ""photo""}, {""name"": ""De Drie Monnikjes"", ""shop"": ""gift""}]"
82,,Centrum-Oost,52.36412,4.88757,Entire home/apt,299,3,60,0.66,1,165,0,holland,"[{""name"": ""House of Smart"", ""shop"": ""smartshop""}, {""name"": ""Wijkcentrum d'Oude Stadt"", ""amenity"": ""community_centre""}, {""name"": ""Keizersgrachtkerk"", ""amenity"": ""place_of_worship""}, {""name"": ""Azarius"", ""shop"": ""cannabis""}, {""name"": ""Slewe Gallery"", ""tourism"": ""gallery""}]"
84,,Centrum-West,52.37694,4.88003,Entire home/apt,600,2,62,0.54,1,362,0,holland,"[{""leisure"": ""playground""}, {""leisure"": ""pitch"", ""sport"": ""table_tennis""}, {""name"": ""Theo Thijssenschool"", ""amenity"": ""school"", ""description"": ""hoofdlocatie""}]"
103,,Oud-Noord,52.39442,4.91478,Entire home/apt,170,4,20,0.26,1,0,0,holland,"[{""name"": ""Isken"", ""shop"": ""bakery""}, {""name"": ""Bike Laboratory"", ""shop"": ""bicycle""}, {""name"": ""Domino's"", ""amenity"": ""fast_food"", ""cuisine"": ""pizza""}, {""leisure"": ""garden""}]"
106,,Westerpark,52.38525,4.88006,Entire home/apt,250,26,1,0.01,3,299,0,holland,"[{""name"": ""Gevallen Engel"", ""tourism"": ""artwork""}]"
123,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,65,1,464,5.18,1,154,31,holland,"[{""name"": ""The Royal Treatment"", ""shop"": ""shoe_repair""}, {""leisure"": ""playground""}, {""leisure"": ""garden""}, {""leisure"": ""pitch"", ""sport"": ""soccer""}]"
125,,Centrum-Oost,52.3737,4.92581,Entire home/apt,120,14,84,0.84,1,33,2,holland,"[{""leisure"": ""park""}]"
126,,Centrum-West,52.374,4.89902,Private room,125,2,445,4.02,2,349,24,holland,"[{""name"": ""de Wallen"", ""tourism"": ""attraction""}, {""name"": ""Life is So Sweet"", ""shop"": ""confectionery""}, {""name"": ""Brutus Bros"", ""amenity"": ""cafe""}, {""amenity"": ""brothel""}, {""name"": ""Red Light Secrets"", ""tourism"": ""museum""}, {""name"": ""Old Sailor"", ""amenity"": ""bar""}, {""name"": ""Star Shop"", ""shop"": ""erotic""}, {""name"": ""Cafe Pleinzicht"", ""amenity"": ""pub""}, {""name"": ""Erotisch Museum"", ""tourism"": ""museum""}, {""name"": ""Bananenbar"", ""amenity"": ""stripclub""}, {""name"": ""Casino City"", ""leisure"": ""adult_gaming_centre""}, {""name"": ""Erotic Shop"", ""shop"": ""erotic""}, {""name"": ""New Castle Bar"", ""amenity"": ""bar""}, {""name"": ""American Bar-bq"", ""amenity"": ""restaurant""}, {""name"": ""Excalibur"", ""amenity"": ""bar""}, {""name"": ""The Tabernacle"", ""amenity"": ""place_of_worship""}, {""name"": ""Casa Rosso"", ""shop"": ""tattoo""}, {""name"": ""Koffieschenkerij"", ""amenity"": ""cafe""}, {""name"": ""Anco"", ""amenity"": ""bar"", ""tourism"": ""hotel""}, {""name"": ""Oude Kerk"", ""tourism"": ""museum"", ""description"": ""Kerkgebouw voor religieus en seculier gebruik. Oorspronkelijk een rooms-katholieke kerk gewijd aan Sint-Nicolaas, totdat het werd omgevormd tot een protestantse kerk met de naam Oude Kerk.""}, {""name"": ""Les Deux Frêres"", ""shop"": ""clothes""}]"
143,,Westerpark,52.3731,4.86859,Private room,81,3,362,3.33,1,337,8,holland,"[{""leisure"": ""garden""}, {""leisure"": ""playground""}]"
147,,Centrum-Oost,52.36866,4.92071,Entire home/apt,843,2,113,1.34,2,256,0,holland,"[{""name"": ""Werf 't Kromhout"", ""tourism"": ""museum""}]"
162,,Westerpark,52.38855,4.88521,Entire home/apt,250,3,64,0.64,1,99,3,holland,"[{""leisure"": ""playground""}, {""leisure"": ""pitch"", ""sport"": ""boules""}, {""name"": ""Apentafel"", ""tourism"": ""artwork""}]"
166,,Centrum-Oost,52.37026,4.89931,Private room,118,3,414,3.88,2,219,5,holland,"[{""name"": ""Zuiderkerkstoren"", ""tourism"": ""attraction""}, {""name"": ""Zuiderkerk"", ""tourism"": ""attraction"", ""description"": ""former protestant church in Renaissance style.""}]"
167,,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110,3,2,0.04,1,0,0,holland,"[{""name"": ""Gurdwara Maan Sarovar Sahib"", ""amenity"": ""place_of_worship""}, {""name"": ""NJMT - Nationaal Jeugd Musical Theater"", ""amenity"": ""college""}]"
169,,Centrum-West,52.37142,4.89036,Entire home/apt,399,2,52,0.48,1,103,4,holland,"[{""name"": ""Argus"", ""tourism"": ""artwork""}, {""name"": ""Postzegelpark"", ""leisure"": ""park""}, {""name"": ""Theater De Richel"", ""amenity"": ""theatre""}, {""name"": ""Stadspaleis"", ""amenity"": ""cafe""}, {""name"": ""Postzegelmarkt"", ""tourism"": ""attraction""}, {""leisure"": ""outdoor_seating""}, {""name"": ""Kabouter"", ""tourism"": ""artwork""}, {""name"": ""Nova Hotel"", ""tourism"": ""hotel""}, {""leisure"": ""playground""}, {""name"": ""Vintage Clothes & Design"", ""shop"": ""antiques""}, {""name"": ""Diep"", ""amenity"": ""cafe""}]"
174,,Centrum-Oost,52.36476,4.90925,Private room,77,1,901,8.2,1,301,154,holland,"[{""leisure"": ""garden""}, {""name"": ""Sarphatihuis"", ""amenity"": ""social_facility""}]"
186,,De Pijp - Rivierenbuurt,52.35262,4.89968,Entire home/apt,180,1,92,0.88,1,0,0,holland,"[{""leisure"": ""garden""}, {""name"": ""De Avonturijn"", ""amenity"": ""school""}]"
190,,Centrum-Oost,52.36049,4.88982,Private room,132,2,44,0.63,2,236,0,holland,"[{""name"": ""Medisch Centrum Wetering"", ""amenity"": ""clinic""}, {""leisure"": ""garden""}]"
196,,De Baarsjes - Oud-West,52.36897,4.85561,Entire home/apt,120,4,82,0.92,1,0,2,holland,"[{""leisure"": ""pitch"", ""sport"": ""field_hockey""}, {""leisure"": ""pitch"", ""sport"": ""table_tennis""}, {""leisure"": ""pitch"", ""sport"": ""basketball""}, {""name"": ""Balboaplein"", ""leisure"": ""playground""}, {""leisure"": ""playground""}, {""leisure"": ""garden""}]"
199,,Centrum-West,52.379,4.87909,Entire home/apt,210,4,60,0.57,1,78,2,holland,"[{""name"": ""Marjan de Voogd Porcelain"", ""tourism"": ""gallery""}, {""name"": ""Slagerij Rief"", ""shop"": ""supermarket""}, {""name"": ""De Schans"", ""shop"": ""tobacco""}, {""name"": ""Sonkran"", ""amenity"": ""restaurant"", ""cuisine"": ""thai""}, {""name"": ""Staverno Nassaukade"", ""leisure"": ""marina""}]"
205,,De Baarsjes - Oud-West,52.3709,4.85301,Entire home/apt,130,3,76,0.82,1,69,4,holland,"[{""name"": ""Marco's Groentespeciaalzaak"", ""shop"": ""greengrocer""}, {""name"": ""Etos"", ""shop"": ""chemist""}, {""name"": ""Tuin van Jan"", ""leisure"": ""garden""}, {""leisure"": ""playground""}, {""name"": ""Café Cook"", ""amenity"": ""restaurant""}, {""name"": ""Proeflokaal Vesp"", ""amenity"": ""bar""}]"
211,,Watergraafsmeer,52.35149,4.92265,Entire home/apt,140,3,43,0.54,1,130,0,holland,"[{""leisure"": ""garden""}]"
244,,IJburg - Zeeburgereiland,52.36064,4.97643,Entire home/apt,135,5,83,0.8,1,344,2,holland,"[{""leisure"": ""playground""}]"
251,,Osdorp,52.35622,4.79544,Private room,80,2,155,1.7,2,308,0,holland,"[{""leisure"": ""pitch"", ""sport"": ""basketball""}, {""leisure"": ""playground""}]"
260,,Bijlmer-Centrum,52.31774,4.94647,Private room,46,1,408,4.16,1,329,17,holland,"[{""name"": ""De Venser"", ""amenity"": ""nursing_home""}]"
261,,Bos en Lommer,52.38231,4.84866,Entire home/apt,75,3,76,0.9,1,0,0,holland,"[{""name"": ""Multatulischool"", ""amenity"": ""school""}]"
266,,Oud-Oost,52.35823,4.92035,Entire home/apt,295,4,10,0.19,1,325,0,holland,"[{""leisure"": ""garden""}]"
267,,De Pijp - Rivierenbuurt,52.35043,4.90079,Entire home/apt,120,4,42,0.44,1,38,0,holland,"[{""leisure"": ""garden""}]"
282,,Zuid,52.35749,4.87699,Entire home/apt,399,2,30,0.3,1,72,0,holland,"[{""name"": ""Suitsupply"", ""shop"": ""clothes""}]"
283,,Centrum-Oost,52.36689,4.91809,Entire home/apt,250,2,38,0.61,1,0,0,holland,"[{""name"": ""Artis"", ""tourism"": ""zoo""}, {""name"": ""De Waterkant"", ""amenity"": ""restaurant""}]"
285,,Bos en Lommer,52.37537,4.86019,Private room,108,3,316,3.21,1,220,2,holland,"[{""name"": ""Etos"", ""shop"": ""chemist""}, {""name"": ""Warung Kamal Afhaalcentrum"", ""amenity"": ""fast_food"", ""cuisine"": ""indonesian""}, {""name"": ""Rue de sevres"", ""amenity"": ""restaurant"", ""cuisine"": ""french""}, {""name"": ""Biladi"", ""amenity"": ""restaurant"", ""cuisine"": ""greek""}, {""name"": ""Wanica Exotics"", ""amenity"": ""fast_food"", ""cuisine"": ""sandwich""}, {""leisure"": ""garden""}, {""name"": ""Mimi Kapsalon"", ""shop"": ""hairdresser""}, {""name"": ""Martins avondwinkel"", ""shop"": ""kiosk""}, {""name"": ""LA CHIC"", ""shop"": ""pet""}]"
291,,De Baarsjes - Oud-West,52.36518,4.86652,Entire home/apt,155,2,3,0.03,1,263,1,holland,"[{""name"": ""Gezondheidscentrum Borgerstraat"", ""amenity"": ""doctors"", ""healthcare"": ""doctor""}, {""name"": ""Tandartsengroep Borgerstraat"", ""amenity"": ""dentist""}, {""name"": ""Pearle"", ""shop"": ""optician""}, {""name"": ""Specsavers"", ""shop"": ""optician""}, {""name"": ""Norah"", ""shop"": ""clothes""}]"
302,,Oud-Noord,52.39319,4.9435,Private room,59,4,97,1.05,1,123,0,holland,"[{""name"": ""Moeshoek"", ""leisure"": ""garden""}]"
303,,Oud-Oost,52.35719,4.92193,Private room,140,1,124,1.37,3,247,0,holland,"[{""leisure"": ""garden""}, {""amenity"": ""public_bookcase""}, {""leisure"": ""playground""}]"
305,,Centrum-Oost,52.37141,4.90353,Entire home/apt,135,3,56,0.7,1,105,2,holland,"[{""tourism"": ""viewpoint""}, {""name"": ""Analogue"", ""shop"": ""camera""}]"
309,,Zuid,52.34008,4.85133,Entire home/apt,300,7,5,0.06,1,212,0,holland,"[{""leisure"": ""pitch"", ""sport"": ""tennis""}, {""name"": ""Tenniseiland"", ""leisure"": ""sports_centre"", ""sport"": ""tennis""}, {""leisure"": ""outdoor_seating""}, {""name"": ""Witte Huis"", ""leisure"": ""sports_centre"", ""sport"": ""multi""}, {""name"": ""Park de Schinkeleilanden"", ""leisure"": ""park""}]"
311,,Noord-Oost,52.39508,4.99186,Private room,77,2,130,1.29,10,247,6,holland,"[{""name"": ""Gypsy Waggon"", ""tourism"": ""guest_house""}]"
317,,Westerpark,52.38919,4.88846,Entire home/apt,220,1,7,0.18,1,0,0,holland,"[{""leisure"": ""garden""}]"
330,,De Pijp - Rivierenbuurt,52.35102,4.89063,Entire home/apt,285,1,64,0.9,1,44,5,holland,"[{""leisure"": ""garden""}, {""leisure"": ""playground""}, {""name"": ""Jonkmans Bloemenhandel"", ""shop"": ""florist""}, {""name"": ""The Breakfast Club"", ""amenity"": ""restaurant"", ""cuisine"": ""breakfast""}, {""name"": ""Massage Ying Ying"", ""shop"": ""massage""}, {""name"": ""Anook Bakehouse"", ""shop"": ""bakery""}]"
331,,De Baarsjes - Oud-West,52.3603,4.86692,Entire home/apt,150,2,75,0.82,1,148,5,holland,"[{""leisure"": ""garden""}]"
345,,Centrum-West,52.37886,4.88723,Entire home/apt,210,4,54,0.92,2,294,2,holland,"[{""name"": ""A.N.M. van Grunsven & F.X.W.M. Hofman"", ""amenity"": ""doctors"", ""healthcare"": ""doctor""}, {""name"": ""Bunbun"", ""shop"": ""bakery""}, {""name"": ""Noordermarkt"", ""amenity"": ""marketplace""}]"
346,,Centrum-West,52.37633,4.89259,Entire home/apt,153,2,66,0.91,1,0,0,holland,"[{""name"": ""Boudewijn Veltman"", ""shop"": ""hairdresser""}, {""shop"": ""art""}, {""name"": ""Made in Sud"", ""amenity"": ""restaurant""}, {""amenity"": ""brothel""}, {""name"": ""De Buurman"", ""shop"": ""convenience""}, {""name"": ""Hairtrends & Beauty"", ""shop"": ""hairdresser""}, {""name"": ""Ashoka"", ""amenity"": ""restaurant"", ""cuisine"": ""indian""}, {""name"": ""Budget Hotel Tourist Inn"", ""tourism"": ""hostel""}, {""name"": ""Curry Express"", ""amenity"": ""restaurant"", ""cuisine"": ""thai""}, {""name"": ""De Denneboom"", ""shop"": ""general""}, {""name"": ""La Bettola"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza""}, {""name"": ""The Palace"", ""amenity"": ""pub""}, {""name"": ""Gays & Gadgets"", ""shop"": ""gift""}, {""name"": ""Hotel Tourist INN"", ""tourism"": ""hotel""}, {""name"": ""Hotelbikes"", ""amenity"": ""bicycle_rental""}, {""amenity"": ""bicycle_rental""}]"
348,,Oud-Oost,52.34933,4.91314,Entire home/apt,150,2,42,0.48,1,85,0,holland,"[{""name"": ""Weesper"", ""amenity"": ""restaurant""}, {""name"": ""Troef"", ""amenity"": ""restaurant""}, {""leisure"": ""outdoor_seating""}, {""name"": ""Bam Boa"", ""amenity"": ""restaurant"", ""description"": ""After 35 years, the Portugeuese restaurant Girassol has closed and opened their new business Bam Boa.""}, {""leisure"": ""garden""}]"
349,,De Pijp - Rivierenbuurt,52.34292,4.89445,Private room,70,2,279,2.99,1,332,4,holland,"[{""leisure"": ""garden""}, {""name"": ""6e Montessorischool Anne Frank"", ""amenity"": ""school""}]"
350,,Zuid,52.34736,4.87546,Private room,63,1,406,4.55,2,5,25,holland,"[{""leisure"": ""garden""}]"
351,,Zuid,52.36079,4.88298,Entire home/apt,475,4,65,0.87,1,18,2,holland,"[{""name"": ""Stone Island"", ""shop"": ""clothes""}, {""name"": ""Hotel Museumzicht"", ""tourism"": ""hotel""}, {""name"": ""Sama Sebo"", ""amenity"": ""restaurant"", ""cuisine"": ""indonesian""}, {""name"": ""De Posthoorn"", ""amenity"": ""pub""}, {""name"": ""G-Star Raw"", ""shop"": ""clothes""}, {""name"": ""The A'dam Giftshop"", ""shop"": ""gift""}, {""name"": ""Ba&sh"", ""shop"": ""clothes""}, {""name"": ""Cavallaro Napoli"", ""shop"": ""clothes""}, {""name"": ""Canada Goose"", ""shop"": ""clothes""}, {""name"": ""Schaap en Citroen"", ""shop"": ""jewelry""}, {""name"": ""Woolrich"", ""shop"": ""clothes""}, {""name"": ""Elisabetta Franchi"", ""shop"": ""clothes""}, {""shop"": ""gift""}, {""name"": ""Profuomo"", ""shop"": ""clothes""}, {""name"": ""Hotel Cornelisz"", ""tourism"": ""hotel""}]"
354,,Centrum-Oost,52.36063,4.89241,Entire home/apt,397,3,48,0.62,1,2,4,holland,"[{""name"": ""Atelier Hop"", ""shop"": ""art""}, {""tourism"": ""apartment""}, {""name"": ""Studio AnnaMora"", ""leisure"": ""fitness_centre""}, {""name"": ""Autobedrijf Wassenberg"", ""shop"": ""car_repair"", ""description"": ""Repairs and maintenance for Fiat, Lancia and Alfa Romeo cars""}, {""name"": ""Euphemia Budget Hotel"", ""tourism"": ""hotel""}, {""name"": ""Alphega Apotheek"", ""amenity"": ""pharmacy""}, {""name"": ""De Kleine Reus"", ""amenity"": ""school""}]"
361,,De Pijp - Rivierenbuurt,52.34174,4.90396,Entire home/apt,220,3,62,0.67,1,188,0,holland,"[{""leisure"": ""garden""}]"
362,,Noord-West,52.40793,4.90264,Private room,75,2,245,2.63,1,286,8,holland,"[{""name"": ""NoordRijk"", ""leisure"": ""playground""}, {""name"": ""NoordRijk"", ""amenity"": ""school"", ""description"": ""basisschool, kinderdagverblijf en buitenschoolse opvang""}]"
369,,Oud-Noord,52.38772,4.93933,Entire home/apt,180,3,95,1.02,1,53,4,holland,"[{""tourism"": ""artwork""}]"
381,,Centrum-West,52.38778,4.88848,Private room,50,2,226,2.55,1,314,13,holland,"[{""leisure"": ""playground""}]"
390,,Westerpark,52.37381,4.87296,Entire home/apt,122,4,52,0.55,1,2,2,holland,"[{""leisure"": ""garden""}, {""name"": ""De Nieuwe Anita"", ""amenity"": ""bar""}, {""name"": ""Robin Food Kollektief"", ""amenity"": ""restaurant""}]"
396,,Oud-Oost,52.36095,4.92986,Entire home/apt,170,1,31,0.65,2,0,0,holland,"[{""name"": ""Havo De Hof"", ""amenity"": ""school""}, {""name"": ""Mi-Gudu"", ""amenity"": ""restaurant""}, {""tourism"": ""information""}, {""leisure"": ""garden""}]"
397,,Oud-Noord,52.38277,4.9088,Entire home/apt,557,2,4,2.35,2,32,4,holland,"[{""leisure"": ""garden""}, {""name"": ""Sixhaven"", ""leisure"": ""marina""}]"
398,,De Pijp - Rivierenbuurt,52.35582,4.89172,Entire home/apt,400,2,35,0.4,1,363,4,holland,"[{""name"": ""Charlotte de Koomen"", ""shop"": ""jewelry""}, {""name"": ""Living-in By Romy's"", ""shop"": ""interior_decoration""}, {""name"": ""Lois"", ""shop"": ""clothes""}, {""name"": ""Elcie"", ""shop"": ""clothes""}, {""name"": ""Everyday Hero"", ""shop"": ""clothes""}, {""name"": ""Brick Lane"", ""shop"": ""clothes""}, {""name"": ""Carletto"", ""amenity"": ""restaurant"", ""cuisine"": ""italian""}, {""name"": ""Verse"", ""shop"": ""clothes""}, {""name"": ""All The Luck In The World"", ""shop"": ""fashion_accessories""}, {""name"": ""Felice"", ""shop"": ""interior_decoration"", ""description"": ""Fashion & interior design""}, {""name"": ""De Kinderfeestwinkel"", ""shop"": ""party""}, {""name"": ""Tally-ho"", ""shop"": ""clothes""}, {""name"": ""Aiche"", ""shop"": ""clothes""}, {""name"": ""7115 by Szeki"", ""shop"": ""clothes""}, {""name"": ""Anna+Nina"", ""shop"": ""jewelry""}, {""name"": ""Baskèts"", ""shop"": ""shoes""}, {""name"": ""Coffeeshop Club Media"", ""shop"": ""cannabis"", ""cuisine"": ""cannabis_coffee_shop""}, {""name"": ""Just Waldo"", ""shop"": ""clothes""}, {""name"": ""iV Salon"", ""shop"": ""hairdresser""}, {""name"": ""LOVE Stories Archive"", ""shop"": ""clothes""}, {""name"": ""Phoenix Verf- & Glasspecialisten"", ""shop"": ""paint""}, {""name"": ""Inkorporated"", ""shop"": ""tattoo""}, {""name"": ""NØLSON"", ""shop"": ""clothes""}, {""name"": ""Second Life"", ""shop"": ""second_hand""}, {""name"": ""Zaza's"", ""amenity"": ""restaurant"", ""cuisine"": ""french""}, {""name"": ""Studio Nash"", ""shop"": ""hairdresser""}, {""name"": ""Spaghetteria"", ""amenity"": ""restaurant"", ""cuisine"": ""italian""}]"
399,,Slotervaart,52.35896,4.81951,Private room,150,2,41,0.44,3,317,1,holland,"[{""name"": ""Sloterpark"", ""leisure"": ""park""}]"
407,,Noord-West,52.4069,4.90168,Entire home/apt,130,4,12,0.14,1,236,0,holland,"[{""name"": ""Viskraam"", ""shop"": ""seafood""}, {""leisure"": ""picnic_table""}]"
408,,De Pijp - Rivierenbuurt,52.34383,4.89273,Entire home/apt,230,3,29,0.45,1,0,0,holland,"[{""leisure"": ""garden""}]"
412,,De Baarsjes - Oud-West,52.36984,4.87213,Entire home/apt,150,14,10,0.11,1,158,0,holland,"[{""name"": ""De Nieuwe Liefde"", ""amenity"": ""arts_centre""}]"
