index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4553,,Buitenveldert - Zuidas,52.32322,4.88,Private room,65,3,1,0.07,2,0,0,holland,"[{""leisure"": ""swimming_pool""}, {""name"": ""'t Kleine Loopveld"", ""leisure"": ""park""}]"
4555,,Centrum-West,52.37733,4.89477,Private room,122,3,17,1.11,1,349,11,holland,"[{""name"": ""Ashoka"", ""amenity"": ""restaurant""}, {""name"": ""Joya"", ""amenity"": ""restaurant"", ""cuisine"": ""asian""}, {""name"": ""Toro Dorado"", ""amenity"": ""restaurant"", ""cuisine"": ""burger;steak_house""}, {""name"": ""Souvenier Supermarket"", ""shop"": ""gift""}, {""name"": ""Gauchos"", ""amenity"": ""restaurant"", ""cuisine"": ""argentinian""}, {""name"": ""Sapore Italiano"", ""amenity"": ""restaurant"", ""cuisine"": ""italian""}, {""name"": ""Day's Foodbar"", ""amenity"": ""restaurant""}, {""name"": ""Van Speyk"", ""amenity"": ""restaurant""}, {""name"": ""Savini"", ""amenity"": ""restaurant"", ""cuisine"": ""italian""}, {""name"": ""Bitterzoet"", ""amenity"": ""nightclub""}, {""name"": ""SUMO"", ""amenity"": ""restaurant"", ""brand"": ""Sumo"", ""cuisine"": ""japanese""}, {""name"": ""King Bikes"", ""amenity"": ""bicycle_rental""}, {""name"": ""Takumi Ramen"", ""amenity"": ""restaurant"", ""cuisine"": ""asian;japanese;ramen""}, {""name"": ""Sint Nicolaas"", ""tourism"": ""hotel""}, {""name"": ""Koepelcafé"", ""amenity"": ""restaurant"", ""cuisine"": ""regional""}, {""name"": ""Renaissance Amsterdam Hotel"", ""tourism"": ""hotel"", ""brand"": ""Renaissance""}, {""name"": ""CIMA"", ""amenity"": ""bar""}]"
4556,,Centrum-West,52.36614,4.88564,Entire home/apt,74,3,4,0.27,1,319,2,holland,"[{""name"": ""When Nature Calls"", ""shop"": ""smartshop""}, {""name"": ""Manfield"", ""shop"": ""shoes""}, {""name"": ""Eichholtz Delicatessen"", ""shop"": ""deli""}, {""name"": ""Suite Benedict"", ""shop"": ""clothes""}, {""name"": ""Gourmet Burger"", ""amenity"": ""fast_food""}, {""name"": ""Prime Fone"", ""shop"": ""mobile_phone""}, {""name"": ""Bagels & Beans"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop""}, {""name"": ""The Color"", ""shop"": ""hairdresser""}, {""name"": ""BOXIE24 Opslag huren Amsterdam"", ""shop"": ""storage_rental""}, {""name"": ""Morlang"", ""leisure"": ""outdoor_seating""}, {""name"": ""Walem"", ""leisure"": ""outdoor_seating""}]"
4571,,De Baarsjes - Oud-West,52.35815,4.85627,Private room,74,1,698,44.84,4,365,597,holland,"[{""amenity"": ""public_bookcase""}, {""name"": ""Conscious Hotel Vondelpark"", ""tourism"": ""hotel""}, {""name"": ""Adam Restaurant"", ""amenity"": ""restaurant""}, {""name"": ""Grillroom Fame"", ""amenity"": ""fast_food""}, {""name"": ""Bar Kosta"", ""amenity"": ""cafe""}, {""name"": ""Drukkerij Overtoom"", ""shop"": ""copyshop""}, {""name"": ""Kapsalon Utopia"", ""shop"": ""hairdresser""}, {""name"": ""schuurmanoomkensgrassotti"", ""amenity"": ""cafe""}, {""name"": ""Beré Nali"", ""amenity"": ""restaurant""}, {""name"": ""YNK"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop""}]"
4575,,Zuid,52.3549,4.87732,Private room,130,1,44,2.8,4,363,34,holland,"[{""leisure"": ""pitch"", ""sport"": ""tennis""}, {""name"": ""Conscious Hotel Museum Square"", ""tourism"": ""hotel""}]"
4583,,Zuid,52.360321,4.878403,Hotel room,22,1,31,1.99,3,0,0,holland,"[{""name"": ""Sonder Park House"", ""tourism"": ""hotel"", ""brand"": ""Sonder""}, {""name"": ""The Flying Pig Hotel Uptown"", ""tourism"": ""hostel""}, {""name"": ""Vondelpark"", ""leisure"": ""park""}]"
4585,,IJburg - Zeeburgereiland,52.35972,4.99551,Entire home/apt,266,2,5,1.61,1,44,4,holland,"[{""leisure"": ""dog_park""}]"
4617,,De Baarsjes - Oud-West,52.369919,4.857575,Entire home/apt,135,2,10,8.33,1,184,10,holland,"[{""leisure"": ""garden""}]"
4633,,Oud-Noord,52.3881,4.91438,Private room,111,1,0,,12,279,0,holland,"[{""leisure"": ""garden""}, {""name"": ""BUNK Hotel Amsterdam"", ""tourism"": ""hotel"", ""brand"": ""BUNK""}, {""name"": ""Bunk Restaurant"", ""amenity"": ""restaurant"", ""cuisine"": ""international""}]"
4639,,Centrum-Oost,52.37378,4.90505,Private room,187,1,2,0.16,8,337,1,holland,"[{""name"": ""City Hotel Amsterdam"", ""tourism"": ""hotel""}, {""name"": ""Mansion"", ""tourism"": ""hotel""}]"
